symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
MCLM6,-2,0,0.01,11890613701,11890613629,1,100.49,100.39,$(10.00),05/05/2026 20:00:12,05/05/2026 19:04:00,56min 12sec
MCLM6,-2,0,0.01,11890613711,11890613671,1,100.50,101.03,$53.00,05/05/2026 20:00:12,05/05/2026 19:13:09,47min 3sec
CLM6,-2,0,0.01,11890613774,11890613722,1,100.89,101.04,$150.00,05/05/2026 20:31:04,05/05/2026 20:11:52,19min 11sec
MESM6,-2,0,0.25,11890613683,11890613789,5,7306.00,7307.75,$43.75,05/05/2026 19:23:39,05/05/2026 23:45:10,4h 21min 31sec
MESM6,-2,0,0.25,11890613647,11890613789,1,7309.00,7307.75,$(6.25),05/05/2026 19:06:30,05/05/2026 23:45:10,4h 38min 40sec
MESM6,-2,0,0.25,11890613638,11890613789,1,7312.50,7307.75,$(23.75),05/05/2026 19:04:12,05/05/2026 23:45:10,4h 40min 57sec
MESM6,-2,0,0.25,11890613580,11890613789,1,7313.75,7307.75,$(30.00),05/05/2026 18:30:18,05/05/2026 23:45:10,5h 14min 52sec
MESM6,-2,0,0.25,11890613571,11890613789,1,7315.25,7307.75,$(37.50),05/05/2026 18:24:11,05/05/2026 23:45:10,5h 20min 59sec
MESM6,-2,0,0.25,11890613483,11890613789,1,7318.75,7307.75,$(55.00),05/05/2026 17:52:17,05/05/2026 23:45:10,5h 52min 52sec
MCLM6,-2,0,0.01,11890613819,11890613810,1,89.05,89.23,$18.00,05/06/2026 06:09:27,05/06/2026 06:09:14,12sec
CLM6,-2,0,0.01,11890613839,11890613830,1,88.87,88.95,$80.00,05/06/2026 06:10:22,05/06/2026 06:09:52,29sec
CLM6,-2,0,0.01,11890613859,11890613850,1,90.61,90.68,$70.00,05/06/2026 06:21:32,05/06/2026 06:21:30,2sec
CLM6,-2,0,0.01,11890613879,11890613870,1,90.64,90.82,$180.00,05/06/2026 06:26:27,05/06/2026 06:26:22,5sec
CLM6,-2,0,0.01,11890613908,11890613890,1,92.25,91.99,$(260.00),05/06/2026 06:56:28,05/06/2026 06:54:20,2min 7sec
CLM6,-2,0,0.01,11890613916,11890613899,1,92.26,92.17,$(90.00),05/06/2026 06:56:28,05/06/2026 06:55:20,1min 7sec
CLM6,-2,0,0.01,11890613936,11890613927,1,93.34,93.70,$360.00,05/06/2026 07:08:13,05/06/2026 07:07:24,49sec
CLM6,-2,0,0.01,11890613956,11890613947,1,95.46,95.64,$180.00,05/06/2026 08:36:51,05/06/2026 08:36:26,25sec
CLM6,-2,0,0.01,11890614109,11890613986,1,95.05,95.36,$310.00,05/06/2026 11:20:02,05/06/2026 10:51:17,28min 44sec
CLM6,-2,0,0.01,11890614109,11890613977,1,95.05,95.18,$130.00,05/06/2026 11:20:02,05/06/2026 10:45:09,34min 52sec
MCLM6,-2,0,0.01,11890614130,11890613968,1,95.73,95.26,$(47.00),05/06/2026 11:53:59,05/06/2026 10:43:23,1h 10min 35sec
CLM6,-2,0,0.01,11890614168,11890614154,1,95.79,96.00,$210.00,05/06/2026 12:01:18,05/06/2026 11:57:55,3min 23sec
CLM6,-2,0,0.01,11890614168,11890614145,1,95.79,95.82,$30.00,05/06/2026 12:01:18,05/06/2026 11:56:45,4min 33sec
MCLM6,-2,0,0.01,11890614211,11890614188,2,95.04,95.62,$116.00,05/06/2026 13:34:01,05/06/2026 12:18:32,1h 15min 28sec
MCLM6,-2,0,0.01,11890614234,11890614222,1,95.01,95.07,$6.00,05/06/2026 13:52:12,05/06/2026 13:49:03,3min 9sec
CLM6,-2,0,0.01,11890614265,11890614249,1,95.11,95.18,$70.00,05/06/2026 13:56:51,05/06/2026 13:54:41,2min 10sec
